prioridad,nombre_informante,domicilio,colonia,localidad,riesgo_predicho,probabilidad_alto,motivo_prioridad,score_total,requiere_atencion_prioritaria
1,Rosa Castellanos Penagos,"Avenida de la Juventud #137, Col. La Lomita",La Lomita,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
2,María Coutiño Gutiérrez,"Calle Morelos #187, Col. San José",San José,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
3,Rosa Velázquez Coutiño,"Calle del Río #186, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
4,Francisco Sánchez Ozuna,"Avenida 20 de Noviembre #184, Col. San José",San José,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),13,True
5,Margarita Leticia Chanona Coutiño,"Calle Allende #103, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
6,Juana Coutiño Sánchez,"Avenida Central #197, Col. Cuauhtémoc",Cuauhtémoc,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),11,True
7,María Ramírez Martínez,"3ra Calle Norte #200, Col. Guadalupe",Guadalupe,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
8,Jesús Francisco Nucamendi Espinosa,"Calle Morelos #86, Col. Linda Vista",Linda Vista,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
9,Sergio Hernández Domínguez,"Calle Juárez #227, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),14,True
10,Lucía Gutiérrez Ruiz,"Calle Morelos #52, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
11,Sergio Gómez Domínguez,"Calle Real #198, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
12,Silvia Grajales Cruz,"Calle Real #193, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico),11,True
13,Claudia Torres Gómez,"Boulevard Ángel Albino Corzo #142, Col. Terán",Terán,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
14,Patricia Zenteno Chanona,"Avenida 20 de Noviembre #225, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; hacinamiento severo (más de 3 personas por cuarto),11,True
15,Patricia Gómez Cruz,"Calle Hidalgo #21, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),13,True
16,Miguel Penagos Vázquez,"1ra Calle Norte #270, Col. San Jacinto",San Jacinto,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; hacinamiento severo (más de 3 personas por cuarto),12,True
17,Leticia Morales Espinosa,"Calle Allende #72, Col. Guadalupe",Guadalupe,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
18,Alejandra Méndez Jiménez,"Calle 2 Sur #125, Col. Penipak",Penipak,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),13,True
19,Roberto Luis Aguilar Torres,"Calle Allende #115, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas,11,True
20,Guadalupe García Castellanos,"Calle Matamoros #190, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas,11,True
21,Carmen López Flores,"Calle Hidalgo #228, Col. San Jacinto",San Jacinto,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),13,True
22,Elena González Ozuna,"Calle del Río #17, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
23,Antonio Hernández Penagos,"3ra Calle Norte #22, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),10,True
24,Silvia Espinosa Coutiño,"Calle Morelos #78, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
25,Carmen Ramírez Jiménez,"Calle Libertad #188, Col. San José",San José,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas,11,True
26,Rosa Ruiz Martínez,"Calle Juárez #207, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
27,Marco Castellanos Hernández,"Avenida Emiliano Zapata #131, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
28,Beatriz González Moreno,"1ra Calle Norte #176, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
29,Manuel García Domínguez,"Calle 5 de Mayo #52, Col. Pacú",Pacú,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
30,Martha Patricia Ruiz Grajales,"Calle Libertad #24, Col. San Antonio",San Antonio,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
31,Gabriela Chanona Grajales,"Calle Allende #143, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
32,Sergio Hernández López,"2da Calle Norte #263, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada,11,True
33,Sofía Gómez Sánchez,"Avenida Emiliano Zapata #86, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 1 año en el hogar; mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
34,Juana Méndez López,"Calle Matamoros #184, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
35,Leticia Espinosa Ozuna,"Calle Matamoros #39, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),11,True
36,Roberto Vázquez Chanona,"Avenida 20 de Noviembre #181, Col. Guadalupe",Guadalupe,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
37,Enrique Torres Torres,"Calle Allende #65, Col. San José",San José,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
38,Eduardo Ovando Zenteno,"1ra Calle Norte #231, Col. Pacú",Pacú,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
39,Alejandra Domínguez Vázquez,"Calle 1 Norte #246, Col. El Bosque",El Bosque,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
40,María Vázquez Morales,"Avenida Emiliano Zapata #187, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
41,Elena Ozuna Morales,"2da Calle Norte #178, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),13,True
42,Alberto Ruiz Jiménez,"Calle 2 Sur #272, Col. Las Granjas",Las Granjas,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada,10,True
43,Juan Ruiz Gutiérrez,"Avenida 20 de Noviembre #99, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),11,True
44,Enrique Ruiz Vázquez,"Calle Allende #37, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
45,Juan Zenteno Hernández,"5a Avenida Sur #63, Col. Centro",Centro,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
46,Claudia Espinosa Ozuna,"Avenida 20 de Noviembre #186, Col. San José",San José,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
47,Martha Lucía Aguilar Méndez,"3ra Calle Norte #206, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),10,True
48,Javier Sánchez Aguilar,"Calle 5 de Mayo #233, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),12,True
49,Rosa Flores Coutiño,"Avenida Emiliano Zapata #123, Col. San Jacinto",San Jacinto,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
50,Rafael Nucamendi Aguilar,"Calle Hidalgo #167, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada; menor de 1 año en el hogar; menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),12,True
51,Enrique Méndez Aguilar,"1ra Calle Norte #87, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
52,Verónica Torres Grajales,"Calle del Río #224, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
53,Manuel Ovando Sánchez,"Calle Hidalgo #246, Col. San Roque",San Roque,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico); hacinamiento severo (más de 3 personas por cuarto),11,True
54,Juana Grajales Cruz,"Avenida Emiliano Zapata #32, Col. Guadalupe",Guadalupe,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
55,Lucía Sánchez Torres,"3ra Calle Norte #29, Col. Pacú",Pacú,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
56,Alberto Ovando Flores,"Calle 5 de Mayo #123, Col. El Calvario",El Calvario,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico),11,True
57,Rafael Francisco Ovando Vázquez,"Boulevard Ángel Albino Corzo #88, Col. Albania Baja",Albania Baja,Tuxtla Gutiérrez,ALTO,1.0,riesgo familiar ALTO (modelo); menor de 5 años sin vacunas registradas; hacinamiento severo (más de 3 personas por cuarto),11,True
58,Luis Juan Cruz Ruiz,"Calle Morelos #229, Col. Linda Vista",Linda Vista,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); integrante embarazada,11,True
59,Carlos Roberto Pérez Morales,"Calle Real #60, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); mascota en la vivienda sin vacunación al corriente (riesgo zoonótico),10,True
60,María Sánchez Aguilar,"2da Calle Norte #35, Col. Las Palmas",Las Palmas,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),12,True
61,Pedro Jiménez Flores,"1ra Calle Norte #231, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),11,True
62,Silvia Patricia Martínez Méndez,"Avenida Emiliano Zapata #202, Col. Centro",Centro,Suchiapa,ALTO,1.0,riesgo familiar ALTO (modelo); hacinamiento severo (más de 3 personas por cuarto),13,True
